Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes",1 win & 10 nominations.,"$26,746,443",USA,06 Jul 2010,Antoine Fuqua,,"Crime, Drama, Thriller",English,43,Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,https://m.media-amazon.com/images/M/MV5BMTUyMTI5MTY5MV5BMl5BanBnXkFtZTcwNzAyOTMwMw@@._V1_SX300.jpg,Overture Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",05 Mar 2010,True,132 min,,Brooklyn's Finest,movie,http://www.brooklynsfinestthemovie.com/,Michael C. Martin,2009,tt1210042,6.7,"57,721",,
"Charlton Heston, Ava Gardner, David Niven, Flora Robson",Nominated for 2 Oscars. Another 3 nominations.,N/A,USA,28 Feb 2001,"Nicholas Ray, Guy Green",,"Action, Adventure, Drama, History, War",English,N/A,"During the 1900 Boxer Rebellion against foreigners in China, U.S. Marine Major Matt Lewis, aided by British Consul Sir Arthur Robertson, devises a strategy to keep the rebels at bay until an international military relief force arrives.",https://m.media-amazon.com/images/M/MV5BOWRjMDk1NTQtZTE0Zi00MjQ4LTk5ZjktNzNiZmVmMWEzYTJhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Allied Artists,Unrated,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",06 May 1963,True,154 min,,55 Days at Peking,movie,N/A,"Robert Hamer (additional dialogue), Philip Yordan (screenplay), Bernard Gordon (screenplay)",1963,tt0056800,6.8,"5,398",,
"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas",6 wins & 18 nominations.,"$54,200,000",USA,16 Jul 2013,Fede Alvarez,,"Fantasy, Horror, Thriller","English, Welsh",57,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",https://m.media-amazon.com/images/M/MV5BNTQ3OTkwNTgyN15BMl5BanBnXkFtZTcwNTAzOTAzOQ@@._V1_SX300.jpg,TriStar Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",05 Apr 2013,True,91 min,,Evil Dead,movie,http://www.evildead-movie.com/,"Fede Alvarez (screenplay by), Rodo Sayagues (screenplay by), Sam Raimi (based on the motion picture ""The Evil Dead"",  written by)",2013,tt1288558,6.5,"145,364",,
"Nia Vardalos, Richard Dreyfuss, Alexis Georgoulis, Alistair McGowan",1 nomination.,"$8,474,608","USA, Spain",06 Oct 2009,Donald Petrie,,"Comedy, Romance","English, Greek",34,A travel guide rediscovers her romantic side on a trip around Greece.,https://m.media-amazon.com/images/M/MV5BOTE3MzQ2NzczNl5BMl5BanBnXkFtZTcwMjgyNDgzMg@@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",05 Jun 2009,True,95 min,,My Life in Ruins,movie,http://www.foxsearchlight.com/mylifeinruins/,Mike Reiss,2009,tt0865559,5.9,"17,161",,
"Hugh Grant, Dennis Quaid, Mandy Moore, Willem Dafoe",1 nomination.,"$7,156,725",USA,03 Oct 2006,Paul Weitz,,"Comedy, Music","English, Mandarin",45,"The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal (Moore) and a showtunes-loving young man from Orange County (Golzari). Recently awakened President Staton (Quaid) even wants in on the craze, as he signs up for the potential explosive season finale.",https://m.media-amazon.com/images/M/MV5BMjE0MTk1NzM4MV5BMl5BanBnXkFtZTcwOTUzMjYzMQ@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",21 Apr 2006,True,107 min,,American Dreamz,movie,http://www.americandreamzmovie.com/,Paul Weitz,2006,tt0465142,5.5,"23,648",,
"Christopher Reeve, Gene Hackman, Jackie Cooper, Marc McClure",2 wins & 6 nominations.,N/A,"UK, USA",01 May 2001,Sidney J. Furie,,"Action, Adventure, Family, Sci-Fi","English, Russian, French, Italian",24,"The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man.",https://m.media-amazon.com/images/M/MV5BMmIwZWY1YTYtNDlhOS00NDRmLWI4MzItNjk2NDc1N2NhYzNlXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Warner Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24 Jul 1987,True,90 min,,Superman IV: The Quest for Peace,movie,N/A,"Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Christopher Reeve (story by), Lawrence Konner (story by), Mark Rosenthal (story by), Lawrence Konner (screenplay by), Mark Rosenthal (screenplay by)",1987,tt0094074,3.7,"38,945",,
"Tre Armstrong, Boyd Banks, Clé Bennett, Ardon Bess",3 nominations.,"$7,008,269","Canada, USA, France",29 Apr 2008,Ian Iqbal Rashid,,Drama,English,63,"Following her sister's death from drug addiction, a high school student is forced to leave her private school to return to her old, crime-filled neighborhood where she re-kindles an unlikely passion for the competitive world of step dancing.",https://m.media-amazon.com/images/M/MV5BMzI3MDA5ODg4NV5BMl5BanBnXkFtZTcwMzkyMjc1MQ@@._V1_SX300.jpg,Paramount Vantage,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",25 Jan 2008,True,94 min,,How She Move,movie,http://www.howshemove.com,Annmarie Morais,2007,tt0770810,3.3,"4,730",,
"Paul Walker, Cameron Bright, Vera Farmiga, Chazz Palminteri",4 nominations.,"$6,651,790","Germany, USA",06 Jun 2006,Wayne Kramer,,"Action, Crime, Drama, Thriller","English, Russian, Spanish",41,"A low-ranking thug is entrusted by his crime boss to dispose of a gun that killed corrupt cops, but things get out of control when the gun ends up in wrong hands.",https://m.media-amazon.com/images/M/MV5BMTIwOTAzMDc4MF5BMl5BanBnXkFtZTcwNjY5MzIzMQ@@._V1_SX300.jpg,New Line Cinema,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",24 Feb 2006,True,122 min,,Running Scared,movie,http://www.runningscaredthemovie.com/,Wayne Kramer,2006,tt0404390,7.4,"93,605",,
"Jim Caviezel, Claire Forlani, Jeremy Northam, Malcolm McDowell",1 nomination.,"$2,536,460",USA,30 Nov 2004,Rowdy Herrington,,"Biography, Drama, Romance, Sport",English,45,"Jim Caviezel stars as golf legend Bobby Jones, the icon who retired from competition at the tender age of 28.",https://m.media-amazon.com/images/M/MV5BMTQxMzk1MTY4OV5BMl5BanBnXkFtZTYwMDM0MzE3._V1_SX300.jpg,Film Foundry Releasing,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",30 Apr 2004,True,120 min,,Bobby Jones: Stroke of Genius,movie,http://www.bobbyjonesthemovie.com,"Rowdy Herrington (story), Kim Dawson (story), Rowdy Herrington (screenplay), Bill Pryor (screenplay), Tony De Paul (screenplay)",2004,tt0375104,6.7,"3,518",,
"Sean Penn, Madonna, Paul Freeman, Richard Griffiths",1 win & 6 nominations.,N/A,UK,22 Jul 2003,Jim Goddard,,"Adventure, Crime, Drama",English,N/A,Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic...,https://m.media-amazon.com/images/M/MV5BMTMxNzAwMDQ5OV5BMl5BanBnXkFtZTcwMjUxMTE3NA@@._V1_SX300.jpg,Vestron Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",29 Aug 1986,True,97 min,,Shanghai Surprise,movie,N/A,"John Kohn (screenplay), Robert Bentley (screenplay), Tony Kenrick (from the novel ""Faraday's Flowers"")",1986,tt0091934,3.1,"4,504",,
"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell",Nominated for 1 Oscar. Another 10 wins & 10 nominations.,"$39,680,302","USA, Czech Republic",09 Jan 2007,Neil Burger,,"Drama, Mystery, Romance, Thriller",English,68,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",https://m.media-amazon.com/images/M/MV5BY2VkMzZlZDAtNTkzNS00MDIzLWFmOTctMWQwZjQ1OWJiYzQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Yari Film Group,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",01 Sep 2006,True,110 min,,The Illusionist,movie,http://www.theillusionist.com/,"Neil Burger (screenplay), Steven Millhauser (short story ""Eisenheim the Illusionist"")",2006,tt0443543,7.6,"334,949",,
"Tippi Hedren, Noel Marshall, Melanie Griffith, John Marshall",N/A,"$106,353",USA,01 Apr 2003,Noel Marshall,,"Adventure, Thriller",English,65,A family goes to Africa to meet their father who lives with wild lions.,https://m.media-amazon.com/images/M/MV5BMTc2OGI1ODYtMzVmZi00YzE2LTkxMmUtZDBjYTkzZDk2YTkyXkEyXkFqcGdeQXVyODM5MTgwMjc@._V1_SX300.jpg,Drafthouse Films,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",12 Nov 1981,True,102 min,,Roar,movie,http://www.roarthemovie.com/,"Noel Marshall, Ted Cassidy (additional script material)",1981,tt0083001,6.3,"2,273",,
"Cate Blanchett, Gerard McSorley, Ciarán Hinds, Brenda Fricker",Nominated for 1 Golden Globe. Another 3 wins & 13 nominations.,N/A,"Ireland, UK, USA",16 Mar 2004,Joel Schumacher,,"Biography, Crime, Drama, Thriller",English,55,An Irish journalist writes a series of stories about drug dealers.,https://m.media-amazon.com/images/M/MV5BZWZhZDdiMDYtYTRkMi00MzEzLWI0NjgtZjJjODFmN2ZjNmZmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Buena Vista Distribution Compa,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",17 Oct 2003,True,98 min,,Veronica Guerin,movie,http://veronicaguerin.movies.go.com/,"Carol Doyle (story), Carol Doyle (screenplay), Mary Agnes Donoghue (screenplay)",2003,tt0312549,6.9,"17,851",,
"Benicio Del Toro, Josh Hutcherson, Claudia Traisac, Brady Corbet",1 nomination.,N/A,"France, Spain, Belgium, Panama",N/A,Andrea Di Stefano,,"Crime, Drama, History, Romance, Thriller","English, Spanish",56,"In Colombia, a young surfer meets the woman of his dreams - and then meets her uncle, Pablo Escobar.",https://m.media-amazon.com/images/M/MV5BNTUzMDQ0MzA4OV5BMl5BanBnXkFtZTgwNDY3OTc2MjE@._V1_SX300.jpg,Radius-TWC,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",26 Jun 2015,True,120 min,,Escobar: Paradise Lost,movie,N/A,"Andrea Di Stefano, Andrea Di Stefano (adaptation), Francesca Marciano (adaptation)",2014,tt2515030,6.5,"19,210",,
"Carlos Amezcua, Curtis Armstrong, Robert Benz, Todd Berger",1 win & 2 nominations.,"$227,365","France, Germany, USA",18 Mar 2008,Richard Kelly,,"Comedy, Drama, Mystery, Sci-Fi, Thriller",English,44,"During a three day heat wave just before a huge 4th of July celebration, an action star stricken with amnesia meets up with a porn star who is developing her own reality TV project, and a policeman who holds the key to a vast conspiracy.",https://m.media-amazon.com/images/M/MV5BNDk0ZDY4NTItOTY3Zi00MjU1LTkzNDgtZjg1MDA3Nzc4YWRiXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,Samuel Goldwyn Films,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",07 Dec 2007,True,145 min,,Southland Tales,movie,http://www.southlandtales.com/,Richard Kelly,2006,tt0405336,5.5,"34,868",,
"Vincent Lindon, Patrick Timsit, Philippe Nahon, Amanda Lear",1 nomination.,N/A,"France, Luxembourg, Germany",23 Jun 2009,"Guillaume Ivernel, Arthur Qwak",,"Animation, Action, Adventure, Comedy, Family, Fantasy",French,N/A,A fantastic tale telling the adventures of two dragon hunters!,https://m.media-amazon.com/images/M/MV5BOTc4M2EwNjQtNjY5Yi00OTVhLWI2NDItYWI2OGZlOTdkNDhiXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,Peace Arch Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",26 Mar 2008,True,80 min,,Dragon Hunters,movie,http://www.dragonhunters-themovie.com/,"Frédéric Lenoir, Arthur Qwak",2008,tt0944834,6.6,"11,451",,
"Jan-Michael Vincent, George Peppard, Dominique Sanda, Paul Winfield",N/A,N/A,USA,12 Jul 2011,Jack Smight,,Sci-Fi,English,N/A,"In a post-apocalyptic world, a group of survivors travel and find other settlements in huge custom designed all terrain vehicles.",https://m.media-amazon.com/images/M/MV5BYTdmNjk4OTItYzI2OC00OTNhLWJlYWUtMDU4ZTRhYmM5YTRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Twentieth Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",21 Oct 1977,True,91 min,,Damnation Alley,movie,N/A,"Roger Zelazny (from the novel ""Damnation Alley""), Alan Sharp (screenplay), Lukas Heller (screenplay)",1977,tt0075909,5.2,"4,427",,
"Ashley Greene, Sebastian Stan, Tom Felton, Julianna Guill",1 nomination.,"$4,700,000","USA, Germany",27 Nov 2012,Todd Lincoln,,"Horror, Thriller",English,18,A couple is haunted by a supernatural presence that is unleashed during a college experiment.,https://m.media-amazon.com/images/M/MV5BMTU5Mjk0Njk1OV5BMl5BanBnXkFtZTcwMTg4MzU4Nw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",24 Aug 2012,True,82 min,,The Apparition,movie,http://www.theapparitionmovie.com,Todd Lincoln,2012,tt1433822,4.1,"18,000",,
"Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky",2 wins & 5 nominations.,N/A,USA,26 May 1998,Howard Zieff,,"Comedy, Drama, Family, Romance",English,56,"A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend.",https://m.media-amazon.com/images/M/MV5BYWM2ZDliNjItZTcxOC00NTY2LWE1ODctNzRhNGM3YWIyYjBiXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",27 Nov 1991,True,102 min,,My Girl,movie,N/A,Laurice Elehwany,1991,tt0102492,6.9,"65,229",,
"Nicole Kidman, Robert Downey Jr., Ty Burrell, Harris Yulin",2 wins.,"$148,913",USA,08 May 2007,Steven Shainberg,,"Biography, Drama, Romance, Thriller",English,50,"Turning her back on her wealthy, established family, Diane Arbus falls in love with Lionel Sweeney, an enigmatic mentor who introduces Arbus to the marginalized people who help her become one of the most revered photographers of the twentieth century.",https://m.media-amazon.com/images/M/MV5BNjg2MTM0NTIxOF5BMl5BanBnXkFtZTcwNDkzMDgzMQ@@._V1_SX300.jpg,Picturehouse,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",20 Oct 2006,True,122 min,,Fur: An Imaginary Portrait of Diane Arbus,movie,http://www.furmovie.com/,"Erin Cressida Wilson, Patricia Bosworth (book)",2006,tt0422295,6.5,"14,474",,
"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell",Nominated for 1 Oscar. Another 10 wins & 10 nominations.,"$39,680,302","USA, Czech Republic",09 Jan 2007,Neil Burger,,"Drama, Mystery, Romance, Thriller",English,68,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",https://m.media-amazon.com/images/M/MV5BY2VkMzZlZDAtNTkzNS00MDIzLWFmOTctMWQwZjQ1OWJiYzQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Yari Film Group,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",01 Sep 2006,True,110 min,,The Illusionist,movie,http://www.theillusionist.com/,"Neil Burger (screenplay), Steven Millhauser (short story ""Eisenheim the Illusionist"")",2006,tt0443543,7.6,"334,949",,
"Charlie Sheen, Tamara Tunie, Franklin Cover, Chuck Pfeiffer",Won 1 Oscar. Another 9 wins & 4 nominations.,N/A,USA,07 Nov 2000,Oliver Stone,,"Crime, Drama",English,56,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",https://m.media-amazon.com/images/M/MV5BNmEyZGQ4NDQtNTEzZC00MDczLWE4ZTEtYTg0ODg2NTkyMWM3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",11 Dec 1987,True,126 min,,Wall Street,movie,N/A,"Stanley Weiser, Oliver Stone",1987,tt0094291,7.4,"133,712",,
"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",Won 1 Oscar. Another 31 wins & 44 nominations.,N/A,"USA, UK",01 Jan 1998,Ang Lee,,"Drama, Romance","English, French",84,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg,Columbia Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",26 Jan 1996,True,136 min,,Sense and Sensibility,movie,N/A,"Jane Austen (novel), Emma Thompson (screenplay)",1995,tt0114388,7.7,"91,357",,
"Anne Hathaway, James McAvoy, Julie Walters, James Cromwell",3 wins & 6 nominations.,"$18,602,895","UK, Ireland",12 Feb 2008,Julian Jarrold,,"Biography, Drama, Romance",English,55,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,https://m.media-amazon.com/images/M/MV5BMTIzMjQyMDMxM15BMl5BanBnXkFtZTcwMjAwOTM1MQ@@._V1_SX300.jpg,Miramax Films,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",10 Aug 2007,True,120 min,,Becoming Jane,movie,http://www.miramax.com/movie/becoming-jane,"Jane Austen (letters), Kevin Hood, Sarah Williams",2007,tt0416508,7.1,"53,972",,
"Amanda Bynes, Sara Paxton, Matt Long, Jack Carpenter",N/A,"$11,702,090",USA,22 Jan 2008,Joe Nussbaum,,"Comedy, Drama, Romance",English,45,A modern retelling of Snow White set against students in their freshman year of college in the greek system.,https://m.media-amazon.com/images/M/MV5BMTk3ODc3ODAxN15BMl5BanBnXkFtZTcwNzcwMDU1MQ@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",21 Sep 2007,True,108 min,,Sydney White,movie,http://www.myspace.com/sydneywhite,Chad Gomez Creasey,2007,tt0815244,6.3,"43,115",,
"Jennifer Connelly, Ben Kingsley, Ron Eldard, Frances Fisher",Nominated for 3 Oscars. Another 13 wins & 39 nominations.,"$12,924,917",USA,30 Mar 2004,Vadim Perelman,,"Crime, Drama","English, Persian",71,An abandoned wife is evicted from her house and starts a tragic conflict with her house's new owners.,https://m.media-amazon.com/images/M/MV5BMTIzMjQ5NzM2M15BMl5BanBnXkFtZTYwMzU2NDY3._V1_SX300.jpg,DreamWorks SKG,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",09 Jan 2004,True,126 min,,House of Sand and Fog,movie,http://www.dreamworks.com/houseofsandandfog/,"Andre Dubus III (novel), Vadim Perelman (screenplay), Shawn Lawrence Otto (screenplay)",2003,tt0315983,7.6,"61,290",,
"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",Won 1 Oscar. Another 18 wins & 18 nominations.,N/A,USA,10 Nov 1998,Peter Weir,,"Comedy, Drama","English, Latin",79,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",09 Jun 1989,True,128 min,,Dead Poets Society,movie,N/A,Tom Schulman,1989,tt0097165,8.1,"362,941",,
"Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr",5 wins & 3 nominations.,N/A,USA,20 May 1997,"Peter Farrelly, Bobby Farrelly",,Comedy,"English, Swedish, German",41,The cross-country adventures of 2 good-hearted but incredibly stupid friends.,https://m.media-amazon.com/images/M/MV5BZDQwMjNiMTQtY2UwYy00NjhiLTk0ZWEtZWM5ZWMzNGFjNTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",16 Dec 1994,True,107 min,,Dumb and Dumber,movie,N/A,"Peter Farrelly, Bennett Yellin, Bobby Farrelly",1994,tt0109686,7.3,"326,600",,
"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby",Nominated for 1 Oscar. Another 4 wins & 16 nominations.,N/A,USA,13 Oct 1998,Rob Reiner,,"Comedy, Drama, Romance",English,76,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",21 Jul 1989,True,95 min,,When Harry Met Sally...,movie,N/A,Nora Ephron,1989,tt0098635,7.6,"175,300",,
"Paul Newman, Charlotte Rampling, Jack Warden, James Mason",Nominated for 5 Oscars. Another 3 wins & 9 nominations.,N/A,USA,04 Jun 2002,Sidney Lumet,,Drama,English,77,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,https://m.media-amazon.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",17 Dec 1982,True,129 min,,The Verdict,movie,N/A,"Barry Reed (based upon the novel by), David Mamet (screenplay)",1982,tt0084855,7.8,"31,978",,
"Breckin Meyer, Seann William Scott, Amy Smart, Paulo Costanzo",4 wins & 9 nominations.,N/A,USA,19 Dec 2000,Todd Phillips,,"Adventure, Comedy",English,55,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,https://m.media-amazon.com/images/M/MV5BODA4ZGRhZjgtMTYwMy00MDQzLTkxNTUtYTYwZjE5NDRiZTRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dreamworks Distribution LLC,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",19 May 2000,True,93 min,,Road Trip,movie,http://www.roadtrip-itsgood.com,"Todd Phillips, Scot Armstrong",2000,tt0215129,6.5,"147,750",,
"James Van Der Beek, Jon Voight, Paul Walker, Ron Lester",2 wins & 5 nominations.,N/A,USA,31 May 1999,Brian Robbins,,"Comedy, Drama, Romance, Sport",English,50,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,https://m.media-amazon.com/images/M/MV5BZGVlYjRmYTUtNTRiYS00ODNmLThlNDQtNzc3OWJmYTlkMzM0L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",15 Jan 1999,True,106 min,,Varsity Blues,movie,http://www.varsitybluesmovie.com,W. Peter Iliff,1999,tt0139699,6.5,"38,886",,
