,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
2695,,,,,,,,,,,,,,,Mia Farrow,,12 year old|artist|hotel|three word title|written and directed by cast member,,,,,,,,,,,
2696,,,,,,,,,,,,,,,Shirley Douglas,,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,,,,,,,,,,,
2697,,,,,,,,,,,,,,,Daniel Wu,,blacksmith|box office flop|chop socky|critically bashed|village,,,,,,,,,,,
2698,,,,,,,,,,,,,,,Shelley Duvall,,baby|infidelity|pilot|pregnant|waitress,,,,,,,,,,,
2699,,,,,,,,,,,,,,,Elaine Hendrix,,diner|love|private school|school|small town,,,,,,,,,,,
2700,,,,,,,,,,,,,,,Jim Broadbent,,black comedy|bureaucracy|dream|terrorist|wrongful arrest,,,,,,,,,,,
2701,,,,,,,,,,,,,,,Jason Ritter,,music school|scholarship|small town|stage fright|three word title,,,,,,,,,,,
2702,,,,,,,,,,,,,,,Chris Bruno,,psychic|psychic power|psychometry|spin off|supernatural power,,,,,,,,,,,
2703,,,,,,,,,,,,,,,Steve Buscemi,,death|drug|nihilism|rug|white russian,,,,,,,,,,,
2704,,,,,,,,,,,,,,,S. Epatha Merkerson,,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,,,,,,,,,,,
2705,,,,,,,,,,,,,,,Michael Michele,,corrupt|criminal|investigation|lapd|police,,,,,,,,,,,
2706,,,,,,,,,,,,,,,Dan Futterman,,fbi|journalist|missing|pakistan|reporter,,,,,,,,,,,
2707,,,,,,,,,,,,,,,Marla Sokoloff,,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,,,,,,,,,,,
2708,,,,,,,,,,,,,,,Bob Gunton,,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,,,,,,,,,,,
2709,,,,,,,,,,,,,,,Rupert Everett,,comedy of manners|false identity|farce|love|period drama,,,,,,,,,,,
2710,,,,,,,,,,,,,,,Estelle Parsons,,antique|desk|letter|love|time travel,,,,,,,,,,,
2711,,,,,,,,,,,,,,,Tim Blake Nelson,,fight|florida|montana|owl|school,,,,,,,,,,,
2712,,,,,,,,,,,,,,,Eric Godon,,bruges|bullet|hope|irish|tourist,,,,,,,,,,,
2713,,,,,,,,,,,,,,,Diahann Carroll,,african american,,,,,,,,,,,
2714,,,,,,,,,,,,,,,Josh Gad,,20 years later|drummer|hdtv|rock band|rock star,,,,,,,,,,,
2715,,,,,,,,,,,,,,,Bobby Coleman,,graduation|graduation speech|title directed by female|tv studio|unemployment,,,,,,,,,,,
2716,,,,,,,,,,,,,,,Terry Kinney,,corporate greed|corporation|natural gas|salesman|small town,,,,,,,,,,,
2717,,,,,,,,,,,,,,,Conleth Hill,,atheist|limp|quantum mechanics|religion|runaway,,,,,,,,,,,
2718,,,,,,,,,,,,,,,A.J. Buckley,,clique|country club|female protagonist|lip gloss|title directed by female,,,,,,,,,,,
2719,,,,,,,,,,,,,,,Guillermo Arriaga,,cemetery|friend|journey|mexico|promise,,,,,,,,,,,
2720,,,,,,,,,,,,,,,Michael Jeter,,german|ghetto|hope|nazi|radio,,,,,,,,,,,
2721,,,,,,,,,,,,,,,Larry Miller,,actor|detective sergeant|hotel|nightclub|thief,,,,,,,,,,,
2722,,,,,,,,,,,,,,,Elden Henson,,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,,,,,,,,,,,
2723,,,,,,,,,,,,,,,Laura Harring,,amnesia|car accident|female protagonist|lesbian sex|loss of memory,,,,,,,,,,,
2724,,,,,,,,,,,,,,,Chris Geere,,colorado|love|murder|rocky mountains|werewolf,,,,,,,,,,,
2725,,,,,,,,,,,,,,,Ewen Bremner,,call girl|charlatan|fortune teller|manuscript|writer,,,,,,,,,,,
2726,,,,,,,,,,,,,,,Charlotte Rampling,,boarding school|childhood|love|love triangle|organ donation,,,,,,,,,,,
2727,,,,,,,,,,,,,,,Alessandro Nivola,,cia|mole|revolution|spy|ussr,,,,,,,,,,,
2728,,,,,,,,,,,,,,,Mac McDonald,,35 mm digital camera|drugs|murder|train|travel,,,,,,,,,,,
2729,,,,,,,,,,,,,,,Mike Muscat,,cave bear|cro magnon|neanderthal|survival|tradition,,,,,,,,,,,
2730,,,,,,,,,,,,,,,Noah Emmerich,,abusive husband|alabama|boy|dream|sheriff,,,,,,,,,,,
2731,,,,,,,,,,,,,,,Brady Corbet,,breaking the fourth wall|looking at the camera|remake|serial killer|violence,,,,,,,,,,,
2732,,,,,,,,,,,,,,,Amber Marie Bollinger,,divorce papers|fainting|mind control|playground|technology,,,,,,,,,,,
2733,,,,,,,,,,,,,,,Gerard McSorley,,caterer|catering|chef|friend|lawn mower,,,,,,,,,,,
2734,,,,,,,,,,,,,,,Rudolf Klein-Rogge,,art deco|bible quote|dance|silent film|worker,,,,,,,,,,,
2735,,,,,,,,,,,,,,,Dany Verissimo-Petit,,bomb|gang|police|sister|undercover cop,,,,,,,,,,,
2736,,,,,,,,,,,,,,,Treat Williams,,death|finger gun|video message|what happened to epilogue|wheelchair,,,,,,,,,,,
2737,,,,,,,,,,,,,,,Satoshi Tsumabuki,,black magic|china|love|refusal to kill|wuxia,,,,,,,,,,,
2738,,,,,,,,,,,,,,,Leon,,berlin wall|germany|murder|soldier|specialist,,,,,,,,,,,
2739,,,,,,,,,,,,,,,Nataliya Vdovina,,boy|photograph|return|russian|wilderness,,,,,,,,,,,
2740,,,,,,,,,,,,,,,Sarunyu Wongkrachang,,cult film|elephant|jungle|martial arts|stylized violence,,,,,,,,,,,
2741,,,,,,,,,,,,,,,Dave Legeno,,mushroom|mute|roman soldier|screaming|wood carving,,,,,,,,,,,
2742,,,,,,,,,,,,,,,Conrad Dunn,,assassin|die hard scenario|rangefinder|soldier|veteran,,,,,,,,,,,
2743,,,,,,,,,,,,,,,Leslie Bibb,,butcher|girlfriend|mute character|photographer|subway,,,,,,,,,,,
2744,,,,,,,,,,,,,,,Aubrey Poo,,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,,,,,,,,,,,
2745,,,,,,,,,,,,,,,Tracy Morgan,,housing project|letter|man with glasses|murder|subjective camera,,,,,,,,,,,
2746,,,,,,,,,,,,,,,Edward Fox,,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,,,,,,,,,,,
2747,,,,,,,,,,,,,,,Keith Allen,,commercial|dream|dreaming|girl|new york city,,,,,,,,,,,
2748,,,,,,,,,,,,,,,Franco Nero,,bathory|countess|female protagonist|legend|virgin blood,,,,,,,,,,,
2749,,,,,,,,,,,,,,,Loretta Devine,,herd|ostrich|waterhole|wildebeest|zebra,,,,,,,,,,,
2750,,,,,,,,,,,,,,,Melanie Griffith,,child hitman|dystopia|future|robot|self repair,,,,,,,,,,,
2751,,,,,,,,,,,,,,,Steven Elder,,combat|helmet|martial arts|medieval times|violence,,,,,,,,,,,
2752,,,,,,,,,,,,,,,Ferdinando Vetere,,,,,,,,,,,,,
2753,,,,,,,,,,,,,,,Yasuaki Kurata,,chinese|gang|gratitude|immigrant|japan,,,,,,,,,,,
2754,,,,,,,,,,,,,,,Linus Roache,,betrayal|french revolution|friendship|poet|revolution,,,,,,,,,,,
2755,,,,,,,,,,,,,,,Willie Garson,,cult film|existentialism|groundhog day|time loop|trapped in a time loop,,,,,,,,,,,
2756,,,,,,,,,,,,,,,Kevin Nash,,male bonding|male friendship|male objectification|muscular|stripper,,,,,,,,,,,
2757,,,,,,,,,,,,,,,Brian Dennehy,,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,,,,,,,,,,,
2758,,,,,,,,,,,,,,,Arben Bajraktaraj,,apartment|escape|jewish family|journalist|key,,,,,,,,,,,
2759,,,,,,,,,,,,,,,Bart Shatto,,19th century|christian film|hymn|religion|slave,,,,,,,,,,,
2760,,,,,,,,,,,,,,,Frances Fisher,,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,,,,,,,,,,,
2761,,,,,,,,,,,,,,,Jean-Marc Barr,,cotton|female frontal nudity|flogging|gangster|slavery,,,,,,,,,,,
2762,,,,,,,,,,,,,,,Ayush Mahesh Khedekar,,cheating|falling from height|murder|non professional cast|slum,,,,,,,,,,,
2763,,,,,,,,,,,,,,,Anne Archer,,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,,,,,,,,,,,
2764,,,,,,,,,,,,,,,Jason Alexander,,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,,,,,,,,,,,
2765,,,,,,,,,,,,,,,Joe Flaherty,,,,,,,,,,,,,
2766,,,,,,,,,,,,,,,John Meillon,,australia|australian|crime boss|crocodile|gangster,,,,,,,,,,,
2767,,,,,,,,,,,,,,,Chad Bishop,,,,,,,,,,,,,
2768,,,,,,,,,,,,,,,Stephen Baldwin,,desert|drunkenness|religious mother|strict mother|vietnam war,,,,,,,,,,,
2769,,,,,,,,,,,,,,,Malik Yoba,,bobsled|coach|jamaica|olympic games|olympics,,,,,,,,,,,
2770,,,,,,,,,,,,,,,Edi Gathegi,,coma|death|miner|valentine|valentine's day,,,,,,,,,,,
2771,,,,,,,,,,,,,,,Natasha Calis,,basketball coach|box|jewish|rabbi|yard sale,,,,,,,,,,,
2772,,,,,,,,,,,,,,,Chris Mulkey,,1980s|colonel|deputy|rambo|sheriff,,,,,,,,,,,
2773,,,,,,,,,,,,,,,Harry Lennix,,atlanta georgia|competition|dancer|death|fraternity,,,,,,,,,,,
2774,,,,,,,,,,,,,,,Barbara Bach,,1970s|cult film|official james bond series|submarine|world war three,,,,,,,,,,,
2775,,,,,,,,,,,,,,,Jason Hawes,,ghost|paranormal|paranormal research|shaky cam,,,,,,,,,,,
2776,,,,,,,,,,,,,,,Julian Richings,,campus|death|friend|professor|urban legend,,,,,,,,,,,
2777,,,,,,,,,,,,,,,Swoosie Kurtz,,catholic|corruption|emotional abuse|france|seduction,,,,,,,,,,,
2778,,,,,,,,,,,,,,,Jamie Kennedy,,businessman|fight|mean brother|narrated by character|wordplay in title,,,,,,,,,,,
2779,,,,,,,,,,,,,,,Susan Hogan,,alaska|dog|friendship|gold|yukon,,,,,,,,,,,
2780,,,,,,,,,,,,,,,Molly Shannon,,dancing|orphan|school|special education|student,,,,,,,,,,,
2781,,,,,,,,,,,,,,,Olivia Colman,,british prime minister|female prime minister|politics|prime minister|told in flashback,,,,,,,,,,,
2782,,,,,,,,,,,,,,,Shelby Vischer,,anthropomorphism|pirate|pirate ship|tomato|whale,,,,,,,,,,,
2783,,,,,,,,,,,,,,,Maya Angelou,,african american|mail carrier|poetry|postal worker|south central los angeles,,,,,,,,,,,
2784,,,,,,,,,,,,,,,Gino Salvano,,black comedy|bounty hunter|diamond|machismo|money,,,,,,,,,,,
2785,,,,,,,,,,,,,,,Allen Payne,,blood|destiny|nightmare|partner|vampire,,,,,,,,,,,
2786,,,,,,,,,,,,,,,Ned Beatty,,demon|exorcism|locust|priest|repressed memory,,,,,,,,,,,
2787,,,,,,,,,,,,,,,Vernon Dobtcheff,,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,,,,,,,,,,,
2788,,,,,,,,,,,,,,,Molly Shannon,,boss' daughter|crush|house sitter|housesitting|love interest,,,,,,,,,,,
2789,,,,,,,,,,,,,,,Marley Shelton,,cliff|hawaii|island|newlywed|waterfall,,,,,,,,,,,
2790,,,,,,,,,,,,,,,Lupe Ontiveros,,california|love|marriage|wedding|wedding dress,,,,,,,,,,,
2791,,,,,,,,,,,,,,,Poppy Montgomery,,college|college roommate|party|roommate|student,,,,,,,,,,,
2792,,,,,,,,,,,,,,,Paolo Seganti,,ambassador|american|art|english|italy,,,,,,,,,,,
2793,,,,,,,,,,,,,,,Kari Wuhrer,,death|doctor|gypsy|judge|lawyer,,,,,,,,,,,
2794,,,,,,,,,,,,,,,Mary Kay Place,,love|musician|saxophonist|singer|songwriter,,,,,,,,,,,
2795,,,,,,,,,,,,,,,Isaiah Washington,,argument|birthday|bully|coming of age|semi autobiographical,,,,,,,,,,,
2796,,,,,,,,,,,,,,,Wendell Pierce,,banker|investment|investment banker|marriage|sex,,,,,,,,,,,
2797,,,,,,,,,,,,,,,Lexa Doig,,jason voorhees|lake|machete|scientist|slasher,,,,,,,,,,,
2798,,,,,,,,,,,,,,,Lee Majors,,brunette|film producer|liar|prank|stunt,,,,,,,,,,,
2799,,,,,,,,,,,,,,,Brian Geraghty,,campaign|chess|friend|hotel|senator,,,,,,,,,,,
2800,,,,,,,,,,,,,,,China Chow,,apartment|fast motion scene|model|private investigation|suspected murder,,,,,,,,,,,
2801,,,,,,,,,,,,,,,Osric Chau,,adult humor|best friend|friend|halloween|teenage girl,,,,,,,,,,,
2802,,,,,,,,,,,,,,,Isaach De Bankolé,,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,,,,,,,,,,,
2803,,,,,,,,,,,,,,,Jane Adams,,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,,,,,,,,,,,
2804,,,,,,,,,,,,,,,Noam Jenkins,,college|college campus|gossip|rape|sex,,,,,,,,,,,
2805,,,,,,,,,,,,,,,Tovah Feldshuh,,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,,,,,,,,,,,
2806,,,,,,,,,,,,,,,Bonnie Henna,,attack|coach|colonel|jail|oil refinery,,,,,,,,,,,
2807,,,,,,,,,,,,,,,Candace Kroslak,,car accident|college|ghost|girl in panties|white panties,,,,,,,,,,,
2808,,,,,,,,,,,,,,,Nigel Whitmey,,18th century|ambassador|french revolution|friendship|thomas jefferson,,,,,,,,,,,
2809,,,,,,,,,,,,,,,Kris Marshall,,estate|female frontal nudity|female nudity|no panties|unhappy marriage,,,,,,,,,,,
2810,,,,,,,,,,,,,,,Behrouz Vossoughi,,afghanistan|caravan|rebel|russian|tribe,,,,,,,,,,,
2811,,,,,,,,,,,,,,,Karl Johnson,,prism|rented room|scrofula|sketching|sunrise,,,,,,,,,,,
2812,,,,,,,,,,,,,,,Edouard Baer,,dentist|letter|pilot|skateboard|wallet,,,,,,,,,,,
2813,,,,,,,,,,,,,,,Ulrich Mühe,,jesuit|jew|pope|priest|ss,,,,,,,,,,,
2814,,,,,,,,,,,,,,,Kelly Lin,,martial arts|sword fight|wuxia,,,,,,,,,,,
2815,,,,,,,,,,,,,,,Mark L. Young,,college tuition|guitar|road trip|soldier|stranded,,,,,,,,,,,
2816,,,,,,,,,,,,,,,John Gallagher Jr.,,accident|bus|loss of virginity|new york city|virginity,,,,,,,,,,,
2817,,,,,,,,,,,,,,,Diora Baird,,dollar bill|double entendre|escaped convict|halloween|striptease,,,,,,,,,,,
2818,,,,,,,,,,,,,,,Aidan Quinn,,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,,,,,,,,,,,
2819,,,,,,,,,,,,,,,Anne Hathaway,,gay relationship|homosexuality|mountain|ranch|rodeo,,,,,,,,,,,
2820,,,,,,,,,,,,,,,Jeremy Howard,,18 wheeler|mutant|ninja|sewer|turtle,,,,,,,,,,,
2821,,,,,,,,,,,,,,,Elisa Donovan,,female protagonist|high school|makeover|matchmaker|popularity,,,,,,,,,,,
2822,,,,,,,,,,,,,,,Michael Gaston,,african american|catastrophe|family relationships|farewell scene|therapy,,,,,,,,,,,
2823,,,,,,,,,,,,,,,Collette Wolfe,,acid trip|gameshow|hot tub|time lord|time machine,,,,,,,,,,,
2824,,,,,,,,,,,,,,,Olgierd Lukaszewicz,,meaning of life|moral challenge|morality|search for meaning|ten commandments,,,,,,,,,,,
2825,,,,,,,,,,,,,,,Amelia Warner,,asylum|lust|male pubic hair|penis|pubic hair,,,,,,,,,,,
2826,,,,,,,,,,,,,,,Michael Stuhlbarg,,dognapping|gangster|misfiring gun|screenwriter|shih tzu,,,,,,,,,,,
2827,,,,,,,,,,,,,,,Aunjanue Ellis,,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,,,,,,,,,,,
2828,,,,,,,,,,,,,,,Jaroslaw Boberek,,,,,,,,,,,,,
2829,,,,,,,,,,,,,,,Alexandra Maria Lara,,bunker|hitler|nazi|no exit|war ruins,,,,,,,,,,,
2830,,,,,,,,,,,,,,,Tamar Novas,,dignity|euthanasia|freedom|lawyer|sailor,,,,,,,,,,,
2831,,,,,,,,,,,,,,,Alison Chand,,alien|desire|female nudity|male frontal nudity|scotland,,,,,,,,,,,
2832,,,,,,,,,,,,,,,Bruno Kirby,,disc jockey|friendship|radio|vietnam|vietnamese,,,,,,,,,,,
2833,,,,,,,,,,,,,,,Michael Rispoli,,mafia|mafia boss|mafiosi|mafioso|three word title,,,,,,,,,,,
2834,,,,,,,,,,,,,,,Boys II Men,,boyhood friend|manager|plasma tv|prodigy|star,,,,,,,,,,,
2835,,,,,,,,,,,,,,,Mark Margolis,,ballerina|ballet|fear|female protagonist|madness,,,,,,,,,,,
2836,,,,,,,,,,,,,,,Jennifer Ehle,,law enforcement|police|robocop|robot|technology,,,,,,,,,,,
2837,,,,,,,,,,,,,,,Robert Duvall,,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,,,,,,,,,,,
2838,,,,,,,,,,,,,,,Fredro Starr,,dance|dancing|ghetto|hip hop|imperative in title,,,,,,,,,,,
2839,,,,,,,,,,,,,,,Brooke Bundy,,demon|dream|elm street|freddy krueger|nightmare,,,,,,,,,,,
2840,,,,,,,,,,,,,,,Martin Henderson,,child cancer|christian film|christianity|falling into a hole|inspiring,,,,,,,,,,,
2841,,,,,,,,,,,,,,,Marla Sokoloff,,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,,,,,,,,,,,
2842,,,,,,,,,,,,,,,Brian Keith,,army|cattle|deputy|new mexico|rancher,,,,,,,,,,,
2843,,,,,,,,,,,,,,,Reg E. Cathey,,bullying|grumpy old man|school presentation|stroke|stroke recovery,,,,,,,,,,,
2844,,,,,,,,,,,,,,,Bryan Callen,,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,,,,,,,,,,,
2845,,,,,,,,,,,,,,,Andrew Keegan,,dating|protective father|school|shrew|teen movie,,,,,,,,,,,
2846,,,,,,,,,,,,,,,Gene Simmons,,cheerleader|geek|high school|prison|reference to janet jackson,,,,,,,,,,,
2847,,,,,,,,,,,,,,,Bill Nunn,,cookie|detective|microfilm|parody|sergeant,,,,,,,,,,,
2848,,,,,,,,,,,,,,,Sedona Legge,,beach|island|mexico|prey|trapped,,,,,,,,,,,
2849,,,,,,,,,,,,,,,Cameron Bright,,blackout|child pornography|memory|surprise ending|time travel,,,,,,,,,,,
2850,,,,,,,,,,,,,,,Jean Smart,,meteorologist|snow|snowed in|snowplow|weather,,,,,,,,,,,
2851,,,,,,,,,,,,,,,Loretta Devine,,christmas|family home|musician|piano|secret,,,,,,,,,,,
2852,,,,,,,,,,,,,,,Ruby Dee,,baby|boy|science|scientist|toddler,,,,,,,,,,,
2853,,,,,,,,,,,,,,,Antonio Sabato Jr.,,hitman|kidnapping|kosher|vhs|video store,,,,,,,,,,,
2854,,,,,,,,,,,,,,,Charlotte Sullivan,,binoculars|child spy|notebook|secret|spy,,,,,,,,,,,
2855,,,,,,,,,,,,,,,Greg Germann,,boy|doll|foster home|killer doll|serial killer,,,,,,,,,,,
2856,,,,,,,,,,,,,,,Henry Simmons,,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title,,,,,,,,,,,
2857,,,,,,,,,,,,,,,Jeffrey DeMunn,,desperation|fog|giant insect|survival|survival horror,,,,,,,,,,,
2858,,,,,,,,,,,,,,,Corey Johnson,,artificial intelligence|robot|robot human relationship|turing test|video surveillance,,,,,,,,,,,
2859,,,,,,,,,,,,,,,Mary Kay Place,,body swap|magical realism|portal|puppeteer|surrealism,,,,,,,,,,,
2860,,,,,,,,,,,,,,,Tamala Jones,,advice|battle of the sexes|lingerie|romantic rivalry|rule,,,,,,,,,,,
2861,,,,,,,,,,,,,,,Jason Gray-Stanford,,alien|bar|construction worker|no opening credits|no title at beginning,,,,,,,,,,,
2862,,,,,,,,,,,,,,,Rolando Molina,,congressman|high school|latino|pacific palisades|school,,,,,,,,,,,
2863,,,,,,,,,,,,,,,Shidô Nakamura,,blood splatter|general|island|japan|world war two,,,,,,,,,,,
2864,,,,,,,,,,,,,,,Bruce Dern,,bank|fbi|fuel|rocket|space travel,,,,,,,,,,,
2865,,,,,,,,,,,,,,,Dave Chappelle,,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,,,,,,,,,,,
2866,,,,,,,,,,,,,,,Cas Anvar,,based on novel|escape|imprisonment|kidnapping|mother son relationship,,,,,,,,,,,
2867,,,,,,,,,,,,,,,Traylor Howard,,cult film|gambling debt|job|off screen murder|revenge,,,,,,,,,,,
2868,,,,,,,,,,,,,,,Traci Lords,,dentist|housewife|howie scream|murder|perfection,,,,,,,,,,,
2869,,,,,,,,,,,,,,,Kirsten Dunst,,political cover up|political satire|teenage girl|white house|witness,,,,,,,,,,,
2870,,,,,,,,,,,,,,,Lena Endre,,,,,,,,,,,,,
2871,,,,,,,,,,,,,,,Robert Ri'chard,,black cop|die hard scenario|hostage negotiator|police|police brutality,,,,,,,,,,,
2872,,,,,,,,,,,,,,,Sela Ward,,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,,,,,,,,,,,
2873,,,,,,,,,,,,,,,Marley Shelton,,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,,,,,,,,,,,
2874,,,,,,,,,,,,,,,Ben Chaplin,,bank|bank clerk|birthday|mail order bride|russian,,,,,,,,,,,
2875,,,,,,,,,,,,,,,Sarah Wright,,21st birthday|college student|drunken man|pubic hair|standing up to father,,,,,,,,,,,
2876,,,,,,,,,,,,,,,Catalina Sandino Moreno,,baby|divorce|oscar wilde|pigalle|tourist,,,,,,,,,,,
2877,,,,,,,,,,,,,,,Peter Coyote,,boxing|colosseum|homeless man|reporter|writer,,,,,,,,,,,
2878,,,,,,,,,,,,,,,Christopher Evan Welch,,adoption|female protagonist|princeton university|wedding|working women,,,,,,,,,,,
2879,,,,,,,,,,,,,,,Yves Jacques,,archipelago|guillotine|island|prison|redemption,,,,,,,,,,,
2880,,,,,,,,,,,,,,,Natalie Lisinska,,bare chested boy|doctor|escort|infidelity|prostitute,,,,,,,,,,,
2881,,,,,,,,,,,,,,,Paul Mazursky,,bathroom|bathtub|female protagonist|flashback|kitchen,,,,,,,,,,,
2882,,,,,,,,,,,,,,,Ethan Suplee,,afghanistan|death of soldier|presumed dead|prisoner|war trauma,,,,,,,,,,,
2883,,,,,,,,,,,,,,,Alex Rocco,,court|drugs|judge|mafia|mobster,,,,,,,,,,,
2884,,,,,,,,,,,,,,,Kate Walsh,,coming of age|depression|gay|high school|mental illness,,,,,,,,,,,
2885,,,,,,,,,,,,,,,Thomas Ian Griffith,,exercise bicycle|face in food|police|police brutality|policeman,,,,,,,,,,,
2886,,,,,,,,,,,,,,,Hope Davis,,blood|book|cold calculation|murder|writer,,,,,,,,,,,
2887,,,,,,,,,,,,,,,Shirley Henderson,,gold|gold mine|miner|railroad|surveyor,,,,,,,,,,,
2888,,,,,,,,,,,,,,,Dougray Scott,,evil|injury|possession|priest|vatican,,,,,,,,,,,
2889,,,,,,,,,,,,,,,Jodie Whittaker,,alien|alien invasion|apartment|creature|gang,,,,,,,,,,,
2890,,,,,,,,,,,,,,,Branko Djuric,,bosnian war|church|emaciation|soldier|violence,,,,,,,,,,,
2891,,,,,,,,,,,,,,,Roma Maffia,,911 operator|calling 911|die hard scenario|head held underwater|white villain,,,,,,,,,,,
2892,,,,,,,,,,,,,,,Jung-jae Lee,,,,,,,,,,,,,
2893,,,,,,,,,,,,,,,Steve Bastoni,,cia|crocodile|satellite|snake|spider,,,,,,,,,,,
2894,,,,,,,,,,,,,,,Annie Golden,,character name in title|con artist|fraud|gay|prison break,,,,,,,,,,,
2895,,,,,,,,,,,,,,,Gary Schwartz,,fire|prehistoric times|primitive|tribe|trio,,,,,,,,,,,
2896,,,,,,,,,,,,,,,Derek Luke,,black american|extortion|navy|psychiatrist|sailor,,,,,,,,,,,
2897,,,,,,,,,,,,,,,Rob Morrow,,classroom|fund raising|headmaster|reunion|roman,,,,,,,,,,,
2898,,,,,,,,,,,,,,,Michael Rapaport,,aspiring actor|cocaine|drugs|pimp|suitcase full of money,,,,,,,,,,,
2899,,,,,,,,,,,,,,,Hannah Murray,,clone|love|male nudity|medical ethics|virginity,,,,,,,,,,,
2900,,,,,,,,,,,,,,,Jude Ciccolella,,office|pressure|real estate|robbery|sales,,,,,,,,,,,
2901,,,,,,,,,,,,,,,Jay R. Ferguson,,deputy|murder|revenge|sheriff|texas,,,,,,,,,,,
2902,,,,,,,,,,,,,,,John Heard,,cat|cat people|leopard|love|slip the undergarment,,,,,,,,,,,
2903,,,,,,,,,,,,,,,Rumer Willis,,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck,,,,,,,,,,,
2904,,,,,,,,,,,,,,,Ronald Colman,,coronation|fictitious country|king|princess|swashbuckler,,,,,,,,,,,
2905,,,,,,,,,,,,,,,Paul Schneider,,in love with an inanimate object|internet|introvert|psychologist|sex doll,,,,,,,,,,,
2906,,,,,,,,,,,,,,,Cara Horgan,,boy|fence|jew|nazis|poison gas,,,,,,,,,,,
2907,,,,,,,,,,,,,,,Björk,,ends with quotation|execution|factory|women's prison|year 1964,,,,,,,,,,,
2908,,,,,,,,,,,,,,,Clive Russell,,australia|church|glass|inheritance|wager,,,,,,,,,,,
2909,,,,,,,,,,,,,,,Gretchen Mol,,1930s|madness|murder|new york city|violence,,,,,,,,,,,
2910,,,,,,,,,,,,,,,Richard Schiff,,aging|hdtv|high definition television|love|marriage,,,,,,,,,,,
2911,,,,,,,,,,,,,,,Cheech Marin,,machete|mexican|mexico|priest|texas,,,,,,,,,,,
2912,,,,,,,,,,,,,,,Christian Campbell,,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,,,,,,,,,,,
2913,,,,,,,,,,,,,,,Bill Erwin,,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,,,,,,,,,,,
2914,,,,,,,,,,,,,,,Dong-gun Jang,,1950s|archeologist|korea|korean war|soldier,,,,,,,,,,,
2915,,,,,,,,,,,,,,,Bruce McGill,,baseball movie|little league|little league baseball|mexico|three word title,,,,,,,,,,,
2916,,,,,,,,,,,,,,,Lee J. Cobb,,demonic possession|exorcism|exorcist|loss of innocence|priest,,,,,,,,,,,
2917,,,,,,,,,,,,,,,Murray Hamilton,,beach|blockbuster|fishing|great white shark|shark,,,,,,,,,,,
2918,,,,,,,,,,,,,,,Natasha Lyonne,,1990s|first love|milf|prom|virginity,,,,,,,,,,,
2919,,,,,,,,,,,,,,,Lambert Wilson,,bear|dentist|friendship|mouse|prejudice,,,,,,,,,,,
2920,,,,,,,,,,,,,,,Charlotte Lewis,,boy|child|chosen one|demon|detective,,,,,,,,,,,
2921,,,,,,,,,,,,,,,Regina Hall,,advice|black romance|hip hop|reading a book|sex scene,,,,,,,,,,,
2922,,,,,,,,,,,,,,,Cedric the Entertainer,,barber|barbershop|blaxploitation|loan shark|theft,,,,,,,,,,,
2923,,,,,,,,,,,,,,,Nichelle Nichols,,jamming communications|planet|space station|taunt|trap,,,,,,,,,,,
2924,,,,,,,,,,,,,,,David Margulies,,detective|dolphin|mascot|nudity|stupidity,,,,,,,,,,,
2925,,,,,,,,,,,,,,,Ally Sheedy,,computer|game|high school|norad|teenager,,,,,,,,,,,
